playerID,bbrefID,fangraphsID
bakerge02,bakerge02,1000457
bakerho01,bakerho01,1000458
bakerja01,bakerja01,1000459
bakerje01,bakerje01,1000460
bakerje02,bakerje02,1000461
bakerje03,bakerje03,2073
bakerjo01,bakerjo01,4756
bakerki01,bakerki01,1000462
bakerne01,bakerne01,1000463
bakerph01,bakerph01,1000465
bakersc02,bakersc02,6176
bakerst01,bakerst01,1000467
bakerto01,bakerto01,1000468
bakerto02,bakerto02,1000469
bakertr01,bakertr01,1000470
bakopa01,bakopa01,676
balasmi01,balasmi01,1000471
balazjo01,balazjo01,1000472
balbost01,balbost01,1000473
balcebo01,balcebo01,1000474
baldero01,baldero01,1656
baldsja01,baldsja01,1000475
baldwda01,baldwda01,1000477
baldwfr01,baldwfr01,1000478
baldwha01,baldwha01,1000479
baldwhe01,baldwhe01,1000480
baldwja01,baldwja01,1064
baldwje01,baldwje01,1000481
baldwki01,baldwki01,1000482
baldwla01,baldwla01,1000483
baldwma01,baldwma01,1000484
baldwof01,baldwo.01,1000485
baldwre01,baldwre01,1000486
baldwri01,baldwri01,1000487
balejo01,balejo01,864
balenmi01,balenmi01,1000488
balenwl01,balenwl01,3131
balesle01,balesle01,1000489
balfogr01,balfogr01,718
ballaje01,ballaje01,1000490
ballar01,ballar01,1000491
balleja01,balleja01,1000492
ballepe01,ballepe01,1000493
ballima01,ballima01,1000494
ballje01,ballje01,1000495
ballji01,ballji01,1000496
ballne01,ballne01,1000497
ballowi01,ballowi01,1000498
balsato01,balsato01,1000499
bambege01,bambege01,1000500
bambeha01,bambeha01,1000501
banckst01,banckst01,1000502
bancrda01,bancrda01,1000503
bandaan01,bandaan01,14706
bandoch01,bandoch01,1000504
bandosa01,bandosa01,1000505
bandyje01,bandyje01,12508
baneed01,baneed01,1000506
baneydi01,baneydi01,1000507
bankhda01,bankhda01,1000509
bankhsc01,bankhsc01,1000510
banksbr01,banksbr01,1589
bankser01,bankser01,1000512
banksev01,banksev01,1000513
banksge01,banksge01,1000514
banksjo01,banksjo01,5570
bankswe01,bankswe01,4661
bankswi01,bankswi01,1434
bannial01,bannial01,1000515
bannibr01,bannibr01,5718
bannifl01,bannifl01,1000516
bannoji01,bannoji01,1000518
bannoto01,bannoto01,1000519
bantaja01,bantaja01,1000520
bantzbr01,bantzbr01,9442
baptitr01,baptitr01,1000521
barajro01,barajro01,45
barbajo01,barbajo01,11440
barbare01,barbare01,1000522
barbawa01,barbawa01,1000523
barbebr01,barbebr01,1000524
barbebr02,barbebr02,1000525
barbech01,barbech01,1000526
barbeda01,barbeda01,1000527
barbefr01,barbefr01,1000528
barbeja01,barbeja01,1000529
barbest01,barbest01,1000530
barbest02,barbest02,1000531
barbetu01,barbetu01,1000532
barbiji01,barbiji01,1000533
barcelo01,barcelo01,1435
barclcu01,barclcu01,1000534
barclge01,barclge01,1000535
bardda01,bardda01,7115
bardebr01,bardebr01,4429
bardjo01,bardjo01,1578
bardlu01,bardlu01,14288
barera01,barera01,1000536
barfije01,barfije01,1000537
barfijo01,barfijo01,1000538
barfijo02,barfijo02,3622
barfocl01,barfocl01,1000539
bargagr01,bargagr01,1000540
bargecy01,bargecy01,1000541
barkbr01,barkbr01,1000542
barkeal01,barkeal01,1000543
barkean01,barkean01,1000544
barkegl01,barkegl01,1000545
barkeke01,barkeke01,1019
barkele01,barkele01,1000546
barkera01,barkera01,1000547
barkese01,barkese01,4617
barklbr01,barklbr01,1000549
barklje01,barklje01,1000550
barklre01,barklre01,1000551
barklsa01,barklsa01,1000552
barlomi01,barlomi01,1000553
barlosc01,barlosc01,14993
barloto01,barloto01,1000554
barmebr01,barmebr01,1000555
barmecl01,barmecl01,1830
barnaba01,barnaba01,1000556
barnach01,barnach01,1000557
barneau01,barneau01,12158
barnebo01,barnebo01,1000559
barnebr01,barnebr01,1000560
barnebr02,barnebr02,629
barneda01,barneda01,2430
barneda02,barneda02,11388
barneed01,barneed01,1000561
barneep01,barneep01,1000562
barnefr01,barnefr01,1000563
barnefr02,barnefr02,1000564
barneho01,barneho01,1000565
barneja01,barneja01,12323
barneje01,barneje01,1000566
barnejo01,barnejo01,1000567
barneju01,barneju01,1000568
barnela01,barnela01,4
barnelu01,barnelu01,1000569
barnema01,barnema01,12863
barnere02,barnere02,1000571
barneri01,barneri01,1000572
barnero01,barnero01,1000573
barnesa01,barnesa01,1000574
barnesc01,barnesc01,8718
barnesk01,barnesk01,1000575
barneto01,barneto01,3555
barnevi01,barnevi01,1000576
barnhcl01,barnhcl01,1000577
barnhed01,barnhed01,1000578
barnhle01,barnhle01,1000579
barnhtu01,barnhtu01,10200
barnhvi01,barnhvi01,1000580
barnibi01,barnibi01,1000581
barnige01,barnige01,1000582
barnoed01,barnoed01,1000583
barnwch01,barnwch01,3499
barojsa01,barojsa01,1000584
baronda01,baronda01,7652
barondi01,barondi01,1000585
baronst01,baronst01,9787
barracu01,barracu01,1000586
barrage01,barrage01,1000587
barraky01,barraky01,13713
barrbo01,barrbo01,1000588
barrbo02,barrbo02,1000589
barreaa01,barreaa01,11243
barrebi01,barrebi01,1000591
barrebi02,barrebi02,1000592
barrebo01,barrebo01,1000593
barredi01,barredi01,1000594
barrefr01,barrefr01,1000595
barrefr02,barrefr02,15519
barreja01,barreja01,13322
barreji01,barreji01,1000596
barrejo01,barrejo01,1000597
barrema01,barrema01,1000598
barrema02,barrema02,1000599
barremi01,barremi01,762
barrere01,barrere01,1000600
barreti01,barreti01,1000601
barreto01,barreto01,1000602
barretr01,barretr01,19977
barrifr01,barrifr01,1000603
barrija01,barrija01,18356
barrijo01,barrijo01,1000604
barrima01,barrima01,1000605
barriyh01,barriyh01,11166
barrji01,barrji01,1000606
barrocu01,barrocu01,1000607
barrofr01,barrofr01,1000608
barrofr02,barrofr02,1000609
barrore01,barrore01,1000610
barroto01,barroto01,1000611
barrsc01,barrsc01,1000612
barrst01,barrst01,1000613
barryed01,barryed01,1000614
barryha01,barryha01,1000615
barryja01,barryja01,1000616
barryje01,barryje01,1000617
barryke01,barryke01,3460
barryri01,barryri01,1000618
barrysh01,barrysh01,1000619
barryto01,barryto01,1000620
bartedi01,bartedi01,1000621
barteki01,barteki01,1000622
barthbo01,barthbo01,1000623
barthji01,barthji01,6292
barthjo01,barthjo01,1000624
barthle01,barthle01,1000625
bartito01,bartito01,1000626
bartlbi01,bartlbi01,1000627
bartlbo01,bartlbo01,1000628
bartlir01,bartlir01,1000629
bartlja01,bartlja01,8219
bartobo01,bartobo01,1000630
bartobr01,bartobr01,2408
bartocl01,bartocl01,1871
bartoda01,bartoda01,1000631
bartoda02,bartoda02,5928
bartoha01,bartoha01,1000632
bartosh01,bartosh01,1000633
bartovi01,bartovi01,1000634
bartsch01,bartsch01,1000635
barziph01,barziph01,3486
basakch01,basakch01,3048
basgamo01,basgamo01,1000636
bashaal01,bashaal01,1000637
bashlty01,bashlty01,15203
bashowa01,bashowa01,1000638
basined01,basined01,1000639
baskeji01,baskeji01,1000640
bassan01,bassan01,7982
bassdi01,bassdi01,1000641
bassdo01,bassdo01,1000642
bassech01,bassech01,1000643
bassich01,bassich01,12304
bassjo01,bassjo01,1000644
basske01,basske01,1000645
bassljo01,bassljo01,1000646
bassno01,bassno01,1000647
bassra01,bassra01,1000648
bastaan01,bastaan01,8844
batchem01,batchem01,1000650
batchjo01,batchjo01,1000651
batchri01,batchri01,1000652
batemjo01,batemjo01,1000653
batesaa01,batesaa01,2777
batesbi01,batesbi01,1000654
batesbu01,batesbu01,1000655
batesch01,batesch01,1000656
batesde01,batesde01,1000657
batesdi01,batesdi01,1000658
batesja01,batesja01,1000660
batesjo01,batesjo01,1000661
batesra01,batesra01,1000663
bathebi01,bathebi01,1000664
batiske01,batiske01,1000665
batiski01,batiski01,1000666
batismi01,batismi01,46
batisto01,batisto01,124
batscbi01,batscbi01,1000668
battala01,battala01,1000669
batteea01,batteea01,1000670
battege01,battege01,1000671
battlal01,battlal01,1000673
battlho01,battlho01,1000674
battlji01,battlji01,1000675
battoch01,battoch01,1000676
battsma01,battsma01,1000677
bauerha01,bauerha01,1000679
bauerja01,bauerja01,15194
bauerlo01,bauerlo01,1000680
bauerru01,bauerru01,1000681
bauertr01,bauertr01,12703
baughju01,baughju01,1000682
baumabu01,baumabu01,9309
baumafr01,baumafr01,1000683
baumapa01,baumapa01,1000684
baumeji01,baumeji01,1000685
baumgge01,baumgge01,1000686
baumgjo01,baumgjo01,1000688
baumgro01,baumgro01,1000689
baumgst01,baumgst01,1000690
baumhfr01,baumhfr01,1000691
bausege01,bausege01,1000692
bautaed01,bautaed01,1000693
bautida01,bautida01,47
bautige01,bautige01,19256
bautijo01,bautijo01,1000694
bautira01,bautira01,15769
baxesji01,baxesji01,1000695
baxesmi01,baxesmi01,1000696
baxtemi01,baxtemi01,4464
baxtemo01,baxtemo01,1000697
bayha01,bayha01,1000698
bayja01,bayja01,1717
bayledi01,bayledi01,1000699
baylijo01,baylijo01,4560
baylodo01,baylodo01,1000700
baynebi01,baynebi01,1000701
bazaryo01,bazaryo01,3143
beachbr01,beachbr01,8851
beachja01,beachja01,1000702
beallbo01,beallbo01,1000703
bealljo01,bealljo01,1000704
beallwa01,beallwa01,1000705
